anime_name;anime_path;anime_id
adachi to shimamura;/dirlist.php?dir=subtitles%2Fjapanese%2FAdachi+to+Shimamura%2F;19
afro samurai;/dirlist.php?dir=subtitles%2Fjapanese%2FAfro+Samurai%2F;20
aggretsuko;/dirlist.php?dir=subtitles%2Fjapanese%2FAggretsuko%2F;21
aharen-san wa hakarenai;/dirlist.php?dir=subtitles%2Fjapanese%2FAharen-san+wa+Hakarenai%2F;22
ahiru no sora;/dirlist.php?dir=subtitles%2Fjapanese%2FAhiru+no+Sora%2F;23
aho girl;/dirlist.php?dir=subtitles%2Fjapanese%2FAho+Girl%2F;24
aikatsu!;/dirlist.php?dir=subtitles%2Fjapanese%2FAikatsu%21%2F;25
aikatsu friends;/dirlist.php?dir=subtitles%2Fjapanese%2FAikatsu+Friends%2F;26
aikatsu on parade!;/dirlist.php?dir=subtitles%2Fjapanese%2FAikatsu+on+Parade%21%2F;27
aikatsu planet!;/dirlist.php?dir=subtitles%2Fjapanese%2FAikatsu+Planet%21%2F;28
air;/dirlist.php?dir=subtitles%2Fjapanese%2FAir%2F;29
ai shite knight;/dirlist.php?dir=subtitles%2Fjapanese%2FAi_Shite_Knight%2F;30
ajin;/dirlist.php?dir=subtitles%2Fjapanese%2FAjin%2F;31
ajin s2;/dirlist.php?dir=subtitles%2Fjapanese%2FAjin+S2%2F;32
akagami no shirayukihime;/dirlist.php?dir=subtitles%2Fjapanese%2FAkagami+no+Shirayukihime%2F;33
akage no anne;/dirlist.php?dir=subtitles%2Fjapanese%2FAkage+no+Anne%2F;34
akame ga kill;/dirlist.php?dir=subtitles%2Fjapanese%2FAkame+ga+Kill%2F;35
akane-iro ni somaru saka;/dirlist.php?dir=subtitles%2Fjapanese%2FAkane-iro+ni+Somaru+Saka%2F;36
akanesasu shoujo;/dirlist.php?dir=subtitles%2Fjapanese%2FAkanesasu+Shoujo%2F;37
akatsuki no yona;/dirlist.php?dir=subtitles%2Fjapanese%2FAkatsuki+no+Yona%2F;38
akebi-chan no sailor-fuku;/dirlist.php?dir=subtitles%2Fjapanese%2FAkebi-chan+no+Sailor-fuku%2F;39
akira;/dirlist.php?dir=subtitles%2Fjapanese%2FAkira%2F;40
akudama drive;/dirlist.php?dir=subtitles%2Fjapanese%2FAkudama+Drive%2F;41
akuma-kun;/dirlist.php?dir=subtitles%2Fjapanese%2FAkuma-kun%2F;42
akumaizer 3;/dirlist.php?dir=subtitles%2Fjapanese%2FAkumaizer_3%2F;43
akuma no riddle;/dirlist.php?dir=subtitles%2Fjapanese%2FAkuma+no+Riddle%2F;44
aku no hana;/dirlist.php?dir=subtitles%2Fjapanese%2FAku+no+Hana%2F;45
aldnoah zero;/dirlist.php?dir=subtitles%2Fjapanese%2FAldnoah+Zero%2F;46
a letter to momo;/dirlist.php?dir=subtitles%2Fjapanese%2FA+Letter+to+Momo%2F;47
alice in borderland;/dirlist.php?dir=subtitles%2Fjapanese%2FAlice+in+Borderland%2F;48
alice in deadly school;/dirlist.php?dir=subtitles%2Fjapanese%2FAlice+in+Deadly+School%2F;49
amaama to inazuma;/dirlist.php?dir=subtitles%2Fjapanese%2FAmaama+to+Inazuma%2F;50
amagami ss;/dirlist.php?dir=subtitles%2Fjapanese%2FAmagami_SS%2F;51
amagami ss plus;/dirlist.php?dir=subtitles%2Fjapanese%2FAmagami_SS_Plus%2F;52
amagi brilliant park;/dirlist.php?dir=subtitles%2Fjapanese%2FAmagi_Brilliant_Park%2F;53
amnesia;/dirlist.php?dir=subtitles%2Fjapanese%2FAmnesia%2F;54
android kikaider;/dirlist.php?dir=subtitles%2Fjapanese%2FAndroid_Kikaider%2F;55
angel beats;/dirlist.php?dir=subtitles%2Fjapanese%2FAngel+Beats%2F;56
angel heart;/dirlist.php?dir=subtitles%2Fjapanese%2FAngel+Heart%2F;57
angolmois: genkou kassenki;/dirlist.php?dir=subtitles%2Fjapanese%2FAngolmois%3A+Genkou+Kassenki%2F;58
animation seisaku shinkou kuromi-chan;/dirlist.php?dir=subtitles%2Fjapanese%2FAnimation+Seisaku+Shinkou+Kuromi-chan%2F;59
animation seisaku shinkou kuromi-chan 2;/dirlist.php?dir=subtitles%2Fjapanese%2FAnimation+Seisaku+Shinkou+Kuromi-chan+2%2F;60
anime mirai 2014;/dirlist.php?dir=subtitles%2Fjapanese%2FAnime+Mirai+2014%2F;61
anohana the flower we saw that day;/dirlist.php?dir=subtitles%2Fjapanese%2FAnohana_The+Flower_We+Saw_That_Day%2F;62
ano natsu de matteru;/dirlist.php?dir=subtitles%2Fjapanese%2FAno+Natsu+de+Matteru%2F;63
another;/dirlist.php?dir=subtitles%2Fjapanese%2FAnother%2F;64
ant-man and wasp;/dirlist.php?dir=subtitles%2Fjapanese%2FAnt-man+and+Wasp%2F;65
ao ashi;/dirlist.php?dir=subtitles%2Fjapanese%2FAo+Ashi%2F;66
ao haru ride;/dirlist.php?dir=subtitles%2Fjapanese%2FAo+Haru+Ride%2F;67
aoharu x kikanjuu;/dirlist.php?dir=subtitles%2Fjapanese%2FAoharu+x+Kikanjuu%2F;68
aoi blink;/dirlist.php?dir=subtitles%2Fjapanese%2FAoi+Blink%2F;69
aoi hana;/dirlist.php?dir=subtitles%2Fjapanese%2FAoi+Hana%2F;70
aoki hagane no arpeggio;/dirlist.php?dir=subtitles%2Fjapanese%2FAoki+Hagane+no+Arpeggio%2F;71
ao no exorcist;/dirlist.php?dir=subtitles%2Fjapanese%2FAo+No+Exorcist%2F;72
ao no kanata no four rhythm;/dirlist.php?dir=subtitles%2Fjapanese%2FAo+no+Kanata+no+Four+Rhythm%2F;73
aoyama goushou tanpenshuu;/dirlist.php?dir=subtitles%2Fjapanese%2FAoyama+Goushou+Tanpenshuu%2F;74
appare-ranman!;/dirlist.php?dir=subtitles%2Fjapanese%2FAppare-Ranman%21%2F;75
appleseed;/dirlist.php?dir=subtitles%2Fjapanese%2FAppleseed%2F;76
aquarion evol;/dirlist.php?dir=subtitles%2Fjapanese%2FAquarion_Evol%2F;77
araburu kisetsu no otome-domo yo;/dirlist.php?dir=subtitles%2Fjapanese%2FAraburu+Kisetsu+no+Otome-domo+yo%2F;78
arakawa under the bridge;/dirlist.php?dir=subtitles%2Fjapanese%2FArakawa+Under+the+Bridge%2F;79
arakawa under the bridge 2;/dirlist.php?dir=subtitles%2Fjapanese%2FArakawa+Under+the+Bridge+2%2F;80
arashi no yoru ni;/dirlist.php?dir=subtitles%2Fjapanese%2FArashi+no+Yoru+ni%2F;81
arashi no yoru ni himitsu no tomodachi;/dirlist.php?dir=subtitles%2Fjapanese%2FArashi+no+Yoru+ni+Himitsu+no+Tomodachi%2F;82
argonavis from bang dream!;/dirlist.php?dir=subtitles%2Fjapanese%2FArgonavis+from+BanG+Dream%21%2F;83
aria the animation;/dirlist.php?dir=subtitles%2Fjapanese%2FARIA+The+ANIMATION%2F;84
aria the avvenire;/dirlist.php?dir=subtitles%2Fjapanese%2FARIA+the+AVVENIRE%2F;85
arifureta shokugyou de sekai saikyou;/dirlist.php?dir=subtitles%2Fjapanese%2FArifureta+Shokugyou+de+Sekai+Saikyou%2F;86
arslan senki 2;/dirlist.php?dir=subtitles%2Fjapanese%2FArslan+Senki+2%2F;87
arslan senki;/dirlist.php?dir=subtitles%2Fjapanese%2FArslan_Senki%2F;88
asagao to kase-san;/dirlist.php?dir=subtitles%2Fjapanese%2FAsagao+to+Kase-san%2F;89
ashita he free kick;/dirlist.php?dir=subtitles%2Fjapanese%2FAshita_He_Free_Kick%2F;90
ashita no joe;/dirlist.php?dir=subtitles%2Fjapanese%2FAshita_No_Joe%2F;91
ashita no joe 2;/dirlist.php?dir=subtitles%2Fjapanese%2FAshita_No_Joe_2%2F;92
asobi asobase;/dirlist.php?dir=subtitles%2Fjapanese%2FAsobi+Asobase%2F;93
assassination classroom;/dirlist.php?dir=subtitles%2Fjapanese%2FAssassination_Classroom%2F;94
assault lily bouquet ;/dirlist.php?dir=subtitles%2Fjapanese%2FAssault+Lily+Bouquet+%2F;95
astro boy - tetsuwan atom 2003;/dirlist.php?dir=subtitles%2Fjapanese%2FAstro+Boy+-+Tetsuwan+Atom+2003%2F;96
asura the movie;/dirlist.php?dir=subtitles%2Fjapanese%2FAsura+The+Movie%2F;97
atashin'chi;/dirlist.php?dir=subtitles%2Fjapanese%2FAtashin%27chi%2F;98
atom the beginning;/dirlist.php?dir=subtitles%2Fjapanese%2FAtom_the_Beginning%2F;99
attack no. 1;/dirlist.php?dir=subtitles%2Fjapanese%2FAttack+No.+1%2F;100
aura battler dunbine;/dirlist.php?dir=subtitles%2Fjapanese%2FAura+Battler+Dunbine%2F;101
avataro sentai donbrothers;/dirlist.php?dir=subtitles%2Fjapanese%2FAvataro_Sentai_Donbrothers%2F;102
avengers assemble;/dirlist.php?dir=subtitles%2Fjapanese%2FAvengers_Assemble%2F;103
aya to majo;/dirlist.php?dir=subtitles%2Fjapanese%2FAya+to+Majo%2F;104
b: the beginning;/dirlist.php?dir=subtitles%2Fjapanese%2FB%3A+The+Beginning%2F;105
b: the beginning succession;/dirlist.php?dir=subtitles%2Fjapanese%2FB%3A+The+Beginning+Succession%2F;106
babel ii;/dirlist.php?dir=subtitles%2Fjapanese%2FBabel+II%2F;107
babylon;/dirlist.php?dir=subtitles%2Fjapanese%2FBabylon%2F;108
baby steps;/dirlist.php?dir=subtitles%2Fjapanese%2FBaby_Steps%2F;109
baccano!;/dirlist.php?dir=subtitles%2Fjapanese%2FBaccano%21%2F;110
back street girls: gokudolls;/dirlist.php?dir=subtitles%2Fjapanese%2FBack+Street+Girls%3A+Gokudolls%2F;111
baja no studio;/dirlist.php?dir=subtitles%2Fjapanese%2FBaja+no+Studio%2F;112
baka to test to shoukanjuu;/dirlist.php?dir=subtitles%2Fjapanese%2FBaka+to+Test+to+Shoukanjuu%2F;113
bakemonogatari;/dirlist.php?dir=subtitles%2Fjapanese%2FBakemonogatari%2F;114
bakemono no ko;/dirlist.php?dir=subtitles%2Fjapanese%2FBakemono+no+Ko%2F;115
baki (2018);/dirlist.php?dir=subtitles%2Fjapanese%2FBaki+%282018%29%2F;116
baki (2020);/dirlist.php?dir=subtitles%2Fjapanese%2FBaki+%282020%29%2F;117
bakugan battle brawlers gundalian invaders;/dirlist.php?dir=subtitles%2Fjapanese%2FBakugan+Battle+Brawlers+Gundalian+Invaders%2F;118
bakuman;/dirlist.php?dir=subtitles%2Fjapanese%2FBakuman%2F;119
bakuon!!;/dirlist.php?dir=subtitles%2Fjapanese%2FBakuon%21%21%2F;120
bakuryuu sentai abaranger;/dirlist.php?dir=subtitles%2Fjapanese%2FBakuryuu_Sentai_Abaranger%2F;121
bakushou red beach!;/dirlist.php?dir=subtitles%2Fjapanese%2FBakushou+Red+Beach%21%2F;122
bakutech! bakugan;/dirlist.php?dir=subtitles%2Fjapanese%2FBakuTech%21_Bakugan%2F;123
bakuten;/dirlist.php?dir=subtitles%2Fjapanese%2FBakuten%2F;124
ballroom e youkoso;/dirlist.php?dir=subtitles%2Fjapanese%2FBallroom+e+Youkoso%2F;125
banana fish;/dirlist.php?dir=subtitles%2Fjapanese%2FBanana+Fish%2F;126
barakamon;/dirlist.php?dir=subtitles%2Fjapanese%2FBarakamon%2F;127
baraou no souretsu;/dirlist.php?dir=subtitles%2Fjapanese%2FBaraou+no+Souretsu%2F;128
basilisk;/dirlist.php?dir=subtitles%2Fjapanese%2FBasilisk%2F;129
bastard!! ankoku no hakaishin (2022);/dirlist.php?dir=subtitles%2Fjapanese%2FBastard%21%21+Ankoku+no+Hakaishin+%282022%29%2F;130
batman ninja;/dirlist.php?dir=subtitles%2Fjapanese%2FBatman+Ninja%2F;131
battle athletes victory;/dirlist.php?dir=subtitles%2Fjapanese%2FBattle+Athletes+Victory%2F;132
battle athletes daiundoukai restart;/dirlist.php?dir=subtitles%2Fjapanese%2FBattle_Athletes_DaiUndoukai_ReSTART%2F;133
battle fever j;/dirlist.php?dir=subtitles%2Fjapanese%2FBattle_Fever_J%2F;134
battle spirits brave;/dirlist.php?dir=subtitles%2Fjapanese%2FBattle_Spirits_Brave%2F;135
battle spirits burning soul;/dirlist.php?dir=subtitles%2Fjapanese%2FBattle_Spirits_Burning_Soul%2F;136
battle spirits double drive;/dirlist.php?dir=subtitles%2Fjapanese%2FBattle_Spirits_Double_Drive%2F;137
battle spirits heroes;/dirlist.php?dir=subtitles%2Fjapanese%2FBattle_Spirits_Heroes%2F;138
battle spirits sword eyes;/dirlist.php?dir=subtitles%2Fjapanese%2FBattle_Spirits_Sword_Eyes%2F;139
battle spirits sword eyes gekitouden;/dirlist.php?dir=subtitles%2Fjapanese%2FBattle_Spirits_Sword_Eyes_Gekitouden%2F;140
bayonetta: bloody fate;/dirlist.php?dir=subtitles%2Fjapanese%2FBayonetta%3A+Bloody+Fate%2F;141
beastars;/dirlist.php?dir=subtitles%2Fjapanese%2FBeastars%2F;142
beastars s2;/dirlist.php?dir=subtitles%2Fjapanese%2FBEASTARS+S2%2F;143
beast saga;/dirlist.php?dir=subtitles%2Fjapanese%2FBeast_Saga%2F;144
beatless;/dirlist.php?dir=subtitles%2Fjapanese%2FBeatless%2F;145
beck: mongolian chop squad;/dirlist.php?dir=subtitles%2Fjapanese%2FBeck%3A+Mongolian+Chop+Squad%2F;146
beelzebub;/dirlist.php?dir=subtitles%2Fjapanese%2FBeelzebub%2F;147
belle (ryuu to sobakasu no hime);/dirlist.php?dir=subtitles%2Fjapanese%2FBelle+%28Ryuu+to+Sobakasu+no+Hime%29%2F;148
bem;/dirlist.php?dir=subtitles%2Fjapanese%2FBEM%2F;149
ben to;/dirlist.php?dir=subtitles%2Fjapanese%2FBEN_TO%2F;150
berserk;/dirlist.php?dir=subtitles%2Fjapanese%2FBerserk%2F;151
berserk ougon jidai hen;/dirlist.php?dir=subtitles%2Fjapanese%2FBerserk+Ougon+Jidai+Hen%2F;152
betterman;/dirlist.php?dir=subtitles%2Fjapanese%2FBetterman%2F;153
beyblade burst chouzetsu;/dirlist.php?dir=subtitles%2Fjapanese%2FBeyblade+Burst+Chouzetsu%2F;154
beyblade burst gachi;/dirlist.php?dir=subtitles%2Fjapanese%2FBeyblade+Burst+Gachi%2F;155
beyblade burst;/dirlist.php?dir=subtitles%2Fjapanese%2FBeyblade_Burst%2F;156
beyblade burst god;/dirlist.php?dir=subtitles%2Fjapanese%2FBeyblade_Burst_God%2F;157
big fish and begonia;/dirlist.php?dir=subtitles%2Fjapanese%2FBig+Fish+and+Begonia%2F;158
big order;/dirlist.php?dir=subtitles%2Fjapanese%2FBig+Order%2F;159
binbou shimai monogatari;/dirlist.php?dir=subtitles%2Fjapanese%2FBinbou+Shimai+Monogatari%2F;160
binzume yousei bottle fairy;/dirlist.php?dir=subtitles%2Fjapanese%2FBinzume+Yousei+Bottle+Fairy%2F;161
biohazard degeneration;/dirlist.php?dir=subtitles%2Fjapanese%2FBiohazard+Degeneration%2F;162
bishoujo senshi sailor moon crystal;/dirlist.php?dir=subtitles%2Fjapanese%2FBishoujo+Senshi+Sailor+Moon+Crystal%2F;163
bishounen tanteidan;/dirlist.php?dir=subtitles%2Fjapanese%2FBishounen+Tanteidan%2F;164
black bullet;/dirlist.php?dir=subtitles%2Fjapanese%2FBlack+Bullet%2F;165
black clover;/dirlist.php?dir=subtitles%2Fjapanese%2FBlack+Clover%2F;166
black fox (blackfox);/dirlist.php?dir=subtitles%2Fjapanese%2FBlack+Fox+%28Blackfox%29%2F;167
black jack final;/dirlist.php?dir=subtitles%2Fjapanese%2FBlack+Jack+Final%2F;168
black lagoon;/dirlist.php?dir=subtitles%2Fjapanese%2FBlack+Lagoon%2F;169
black jack;/dirlist.php?dir=subtitles%2Fjapanese%2FBlack_Jack%2F;170
black rock shooter;/dirlist.php?dir=subtitles%2Fjapanese%2FBlack_Rock_Shooter%2F;171
blade x soul;/dirlist.php?dir=subtitles%2Fjapanese%2FBlade_x_Soul%2F;172
blame!;/dirlist.php?dir=subtitles%2Fjapanese%2FBLAME%21%2F;173
blazing transfer students;/dirlist.php?dir=subtitles%2Fjapanese%2FBlazing+Transfer+Students%2F;174
bleach;/dirlist.php?dir=subtitles%2Fjapanese%2FBleach%2F;175
blood+;/dirlist.php?dir=subtitles%2Fjapanese%2FBlood%2B%2F;176
blood-c;/dirlist.php?dir=subtitles%2Fjapanese%2FBlood-C%2F;177
blood-c the movie - the last dark;/dirlist.php?dir=subtitles%2Fjapanese%2FBlood-C+The+Movie+-+The+Last+Dark%2F;178
blood the last vampire;/dirlist.php?dir=subtitles%2Fjapanese%2FBlood+The+Last+Vampire%2F;179
blue comet spt layzner;/dirlist.php?dir=subtitles%2Fjapanese%2FBlue+Comet+SPT+Layzner%2F;180
blue lock;/dirlist.php?dir=subtitles%2Fjapanese%2FBlue+Lock%2F;181
blue reflection ray;/dirlist.php?dir=subtitles%2Fjapanese%2FBlue+Reflection+Ray%2F;182
blue submarine no. 6;/dirlist.php?dir=subtitles%2Fjapanese%2FBlue+Submarine+No.+6%2F;183
blue period;/dirlist.php?dir=subtitles%2Fjapanese%2FBlue_Period%2F;184
blue reflection ray;/dirlist.php?dir=subtitles%2Fjapanese%2FBlue_Reflection_Ray%2F;185
bna (brand new animal);/dirlist.php?dir=subtitles%2Fjapanese%2FBNA+%28Brand+New+Animal%29%2F;186
bocchi the rock!;/dirlist.php?dir=subtitles%2Fjapanese%2FBocchi+the+Rock%21%2F;187
bofuri;/dirlist.php?dir=subtitles%2Fjapanese%2FBofuri%2F;188
boku, unmei no hito desu;/dirlist.php?dir=subtitles%2Fjapanese%2FBoku%2C+unmei+no+hito+desu%2F;189
boku dake ga inai machi;/dirlist.php?dir=subtitles%2Fjapanese%2FBoku+dake+ga+Inai+Machi%2F;190
boku no kanojo ga majime sugiru shojo bitch na ken;/dirlist.php?dir=subtitles%2Fjapanese%2FBoku+no+Kanojo+ga+Majime+Sugiru+Shojo+Bitch+na+Ken%2F;191
boku no son gokuu;/dirlist.php?dir=subtitles%2Fjapanese%2FBoku+no+Son+Gokuu%2F;192
bokura ga ita (we were there);/dirlist.php?dir=subtitles%2Fjapanese%2FBokura+ga+Ita+%28We+Were+There%29%2F;193
bokurano;/dirlist.php?dir=subtitles%2Fjapanese%2FBokurano%2F;194
bokura no nanokakan sensou (bdrip 1080p movie);/dirlist.php?dir=subtitles%2Fjapanese%2FBokura+no+Nanokakan+Sensou+%28BDRip+1080p+Movie%29%2F;195
bokura wa minna kawaisou;/dirlist.php?dir=subtitles%2Fjapanese%2FBokura_Wa_Minna_Kawaisou%2F;196
bokutachi wa benkyou ga dekinai;/dirlist.php?dir=subtitles%2Fjapanese%2FBokutachi+wa+Benkyou+ga+Dekinai%2F;197
boku dake ga inai machi;/dirlist.php?dir=subtitles%2Fjapanese%2FBoku_Dake_Ga_Inai_Machi%2F;198
boku no hero academia;/dirlist.php?dir=subtitles%2Fjapanese%2FBoku_No_Hero_Academia%2F;199
boku wa tomodachi ga sukunai;/dirlist.php?dir=subtitles%2Fjapanese%2FBoku_Wa_Tomodachi_Ga_Sukunai%2F;200
boku wa tomodachi ga sukunai next;/dirlist.php?dir=subtitles%2Fjapanese%2FBoku_Wa_Tomodachi_Ga_Sukunai_Next%2F;201
boogiepop wa warawanai (2019);/dirlist.php?dir=subtitles%2Fjapanese%2FBoogiepop+wa+Warawanai+%282019%29%2F;202
boogiepop wa warawanai - boogiepop phantom;/dirlist.php?dir=subtitles%2Fjapanese%2FBoogiepop+wa+Warawanai+-+Boogiepop+Phantom%2F;203
boruto naruto next generations;/dirlist.php?dir=subtitles%2Fjapanese%2FBoruto_Naruto_Next_Generations%2F;204
brave 10;/dirlist.php?dir=subtitles%2Fjapanese%2FBrave+10%2F;205
brave story;/dirlist.php?dir=subtitles%2Fjapanese%2FBrave+Story%2F;206
brave witches;/dirlist.php?dir=subtitles%2Fjapanese%2FBrave+Witches%2F;207
brave beats;/dirlist.php?dir=subtitles%2Fjapanese%2FBrave_Beats%2F;208
brave raideen;/dirlist.php?dir=subtitles%2Fjapanese%2FBrave_Raideen%2F;209
brothers conflict;/dirlist.php?dir=subtitles%2Fjapanese%2FBrothers+Conflict%2F;210
btooom!;/dirlist.php?dir=subtitles%2Fjapanese%2FBtooom%21%2F;211
bubble;/dirlist.php?dir=subtitles%2Fjapanese%2FBubble%2F;212
bubblegum crisis;/dirlist.php?dir=subtitles%2Fjapanese%2FBubblegum+Crisis%2F;213
buddha saitan - the rebirth of buddha;/dirlist.php?dir=subtitles%2Fjapanese%2FBuddha+Saitan+-+The+Rebirth+of+Buddha%2F;214
buddy complex;/dirlist.php?dir=subtitles%2Fjapanese%2FBuddy+Complex%2F;215
bungaku shoujo;/dirlist.php?dir=subtitles%2Fjapanese%2FBungaku+Shoujo%2F;216
bungo stray dogs wan;/dirlist.php?dir=subtitles%2Fjapanese%2FBungo+Stray+Dogs+Wan%2F;217
bungou stray dogs;/dirlist.php?dir=subtitles%2Fjapanese%2FBungou+Stray+Dogs%2F;218
burn the witch;/dirlist.php?dir=subtitles%2Fjapanese%2FBurn+the+witch%2F;219
busou renkin;/dirlist.php?dir=subtitles%2Fjapanese%2FBusou+Renkin%2F;220
busou shoujo machiavellianism;/dirlist.php?dir=subtitles%2Fjapanese%2FBusou+Shoujo+Machiavellianism%2F;221
busou shinki;/dirlist.php?dir=subtitles%2Fjapanese%2FBusou_Shinki%2F;222
byousoku 5 centimeter;/dirlist.php?dir=subtitles%2Fjapanese%2FByousoku+5+Centimeter%2F;223
c - the money of soul and possibility control;/dirlist.php?dir=subtitles%2Fjapanese%2FC+-+The+Money+of+Soul+and+Possibility+Control%2F;224
caligula;/dirlist.php?dir=subtitles%2Fjapanese%2FCaligula%2F;225
campione!;/dirlist.php?dir=subtitles%2Fjapanese%2FCampione%21%2F;226
cannon busters;/dirlist.php?dir=subtitles%2Fjapanese%2FCannon+Busters%2F;227
cap kakumei bottleman;/dirlist.php?dir=subtitles%2Fjapanese%2FCap+Kakumei+Bottleman%2F;228
captain harlock (2013);/dirlist.php?dir=subtitles%2Fjapanese%2FCaptain+Harlock+%282013%29%2F;229
cardcaptor sakura;/dirlist.php?dir=subtitles%2Fjapanese%2FCardcaptor+Sakura%2F;230
cardcaptor sakura clear card hen;/dirlist.php?dir=subtitles%2Fjapanese%2FCardcaptor+Sakura+Clear+Card+Hen%2F;231
cardcaptor sakura clear card hen prologue sakura to futatsu no kuma;/dirlist.php?dir=subtitles%2Fjapanese%2FCardcaptor+Sakura+Clear+Card+Hen+Prologue+Sakura+to+Futatsu+no+Kuma%2F;232
cardfight!! vanguard;/dirlist.php?dir=subtitles%2Fjapanese%2FCardfight%21%21_Vanguard%2F;233
cardfight!! vanguard asia circuit hen;/dirlist.php?dir=subtitles%2Fjapanese%2FCardfight%21%21_Vanguard_Asia_Circuit_Hen%2F;234
cardfight!! vanguard g;/dirlist.php?dir=subtitles%2Fjapanese%2FCardfight%21%21_Vanguard_G%2F;235
cardfight!! vanguard g next;/dirlist.php?dir=subtitles%2Fjapanese%2FCardfight%21%21_Vanguard_G_NEXT%2F;236
cardfight!! vanguard legion mate hen;/dirlist.php?dir=subtitles%2Fjapanese%2FCardfight%21%21_Vanguard_Legion_Mate_Hen%2F;237
cardfight!! vanguard link joker hen;/dirlist.php?dir=subtitles%2Fjapanese%2FCardfight%21%21_Vanguard_Link_Joker_Hen%2F;238
"carole &amp; tuesday";/dirlist.php?dir=subtitles%2Fjapanese%2FCarole+%26+Tuesday%2F;239
castlevania ;/dirlist.php?dir=subtitles%2Fjapanese%2FCastlevania+%2F;240
cencoroll;/dirlist.php?dir=subtitles%2Fjapanese%2FCENCOROLL%2F;241
chainsaw man;/dirlist.php?dir=subtitles%2Fjapanese%2FChainsaw+Man%2F;242
"chaos;head";/dirlist.php?dir=subtitles%2Fjapanese%2FChaos%3BHead%2F;243
charlotte;/dirlist.php?dir=subtitles%2Fjapanese%2FCharlotte%2F;244
cheburashka the movie 2010;/dirlist.php?dir=subtitles%2Fjapanese%2FCheburashka+The+Movie+2010%2F;245
chi's sweet home;/dirlist.php?dir=subtitles%2Fjapanese%2FChi%27s+Sweet+Home%2F;246
chiba pedal;/dirlist.php?dir=subtitles%2Fjapanese%2FChiba+Pedal%2F;247
chibi maruko-chan (1990);/dirlist.php?dir=subtitles%2Fjapanese%2FChibi+Maruko-chan+%281990%29%2F;248
chibi maruko-chan;/dirlist.php?dir=subtitles%2Fjapanese%2FChibi_Maruko-chan%2F;249
chihayafuru;/dirlist.php?dir=subtitles%2Fjapanese%2FChihayafuru%2F;250
chihayafuru s2;/dirlist.php?dir=subtitles%2Fjapanese%2FChihayafuru+S2%2F;251
chio-chan no tsuugakuro;/dirlist.php?dir=subtitles%2Fjapanese%2FChio-chan+no+Tsuugakuro%2F;252
chobits;/dirlist.php?dir=subtitles%2Fjapanese%2FChobits%2F;253
chocchan monogatari;/dirlist.php?dir=subtitles%2Fjapanese%2FChocchan+Monogatari%2F;254
choujinki metalder;/dirlist.php?dir=subtitles%2Fjapanese%2FChoujinki_Metalder%2F;255
choujin barom 1;/dirlist.php?dir=subtitles%2Fjapanese%2FChoujin_Barom_1%2F;256
choujin bibyun;/dirlist.php?dir=subtitles%2Fjapanese%2FChoujin_Bibyun%2F;257
choujuu sentai liveman;/dirlist.php?dir=subtitles%2Fjapanese%2FChoujuu_Sentai_Liveman%2F;258
choukou senshi shanzerion;/dirlist.php?dir=subtitles%2Fjapanese%2FChoukou_Senshi_Shanzerion%2F;259
chousei kantai sazer-x;/dirlist.php?dir=subtitles%2Fjapanese%2FChousei+Kantai+Sazer-X%2F;260
chouseishin gransazer;/dirlist.php?dir=subtitles%2Fjapanese%2FChouseishin+Gransazer%2F;261
