anime_name;filename;start_time;end_time;content
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:06:31.511000;0 days 00:06:34.511000;"（椿）あっ　バイバーイ！
（生徒）バイバーイ！"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:06:42.522000;0 days 00:06:45.522000;うわー！　死体だー！
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:06:47.527000;0 days 00:06:49.529000;"（椿）早いとこ　逃げとこ…。
（公生）う～ん。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:06:49.529000;0 days 00:06:52.529000;"うん？
（公生）い…　痛…。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:06:59.472000;0 days 00:07:02.475000;"（椿）な～んだ　公生か。
他の人じゃなくて　よかった。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:07:02.475000;0 days 00:07:05.478000;（公生）あれ？　椿　いつ　ここに？
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:07:05.478000;0 days 00:07:09.482000;"（公生）えっ！？　ガラス　割れてる！
視界が　赤い！"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:07:09.482000;0 days 00:07:12.485000;"またかよ！　ここの窓
やっと直してもらえたんだぞ。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:07:12.485000;0 days 00:07:15.488000;"割ったガラスの数は
強打者の勲章よ。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:07:15.488000;0 days 00:07:17.490000;飛ばし過ぎ。　加減しろ。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:07:17.490000;0 days 00:07:20.493000;手なんか　抜けるかー！
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:07:20.493000;0 days 00:07:24.497000;"中学最後の夏だからね。
私は　三冠王になるの！"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:07:24.497000;0 days 00:07:26.499000;"取りあえず　ガラス　片さなきゃ。
[TEL]（♪♪『光るなら』）"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:07:26.499000;0 days 00:07:28.501000;聞けよ！
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:07:28.501000;0 days 00:07:31.504000;（椿）ちり取り　ちり取りと…。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:07:31.504000;0 days 00:07:34.507000;また　僕が謝るのか…。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:07:34.507000;0 days 00:07:36.507000;あと　破損届も。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:07:40.513000;0 days 00:07:42.515000;危ないじゃない　もう。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:07:42.515000;0 days 00:07:44.515000;指　ケガしたら　どうすんのよ！
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:07:46.519000;0 days 00:07:48.521000;別に　いいのに…。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:07:48.521000;0 days 00:07:50.540000;[TEL]（シャッター音）
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:07:50.540000;0 days 00:07:52.459000;うん？
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:07:52.459000;0 days 00:07:55.462000;（渡）家が隣同士　幼なじみ同士→
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:07:55.462000;0 days 00:07:57.464000;所構わず　求め合うねえ。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:07:57.464000;0 days 00:07:59.466000;"おしどり夫婦。
[TEL]（シャッター音）"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:07:59.466000;0 days 00:08:01.468000;（公生・椿）夫婦じゃねーっ！
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:08:01.468000;0 days 00:08:03.470000;"（椿）てか　渡
何で　携帯　持ってんのよ。→"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:08:03.470000;0 days 00:08:05.472000;部活中でしょ？　サッカー部。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:08:05.472000;0 days 00:08:07.474000;土足で入るな　渡。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:08:07.474000;0 days 00:08:10.477000;（椿）あの　ハゲ教頭め。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:08:10.477000;0 days 00:08:13.480000;"ガラス　割ったくらいで
１時間　説教かよ。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:08:13.480000;0 days 00:08:16.483000;"１時間だけで済んで
むしろ　よかったじゃん。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:08:16.483000;0 days 00:08:20.487000;"１時間　付き合わされた
僕の身にも　なってほしいな。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:08:20.487000;0 days 00:08:23.490000;"（椿）だいたいさ
ボールが飛んでく方向に→"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:08:23.490000;0 days 00:08:27.494000;校舎が立ってるのが　おかしいのよ絶対。　そう思うでしょ？
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:08:27.494000;0 days 00:08:29.496000;（渡）俺は　いいけどね。→
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:08:29.496000;0 days 00:08:32.499000;"窓から　女の子が
応援してくれたりするしさ。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:08:32.499000;0 days 00:08:35.502000;"（椿）あー　はいはい。
（渡）あー　腹減ったなー。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:08:35.502000;0 days 00:08:38.505000;（椿）色気の次は　食い気かよ。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:08:38.505000;0 days 00:08:40.507000;"（渡）コンビニ　寄ってくけど
どう？"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:08:40.507000;0 days 00:08:42.509000;"付き合う。
（椿）私も～。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:08:42.509000;0 days 00:08:46.513000;"第一　おかしいだろ。
何で　僕まで説教されなきゃ…。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:08:46.513000;0 days 00:08:49.516000;"（椿）うおっ　このアイス　うまっ！
買いだめだ。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:08:49.516000;0 days 00:08:52.452000;聞いてない。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:08:52.452000;0 days 00:08:55.455000;"（渡）しっかし
公生も災難だよな。→"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:08:55.455000;0 days 00:08:58.458000;"説教された上に
反省文　２枚だって？"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:08:58.458000;0 days 00:09:01.461000;"こんなの　へっちゃら。
軽いもんさ。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:09:01.461000;0 days 00:09:03.463000;"生まれたときから
子守してきたから→"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:09:03.463000;0 days 00:09:05.465000;慣れちゃったよ。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:09:05.465000;0 days 00:09:07.467000;遠足で　つり橋　壊すわ→
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:09:07.467000;0 days 00:09:10.470000;"１０ｍの　飛び込み台から
落とされるわ。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:09:10.470000;0 days 00:09:12.472000;（渡）ハハハ…　小３のときだっけ？
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:09:12.472000;0 days 00:09:14.474000;死ぬかと思った。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:09:14.474000;0 days 00:09:16.476000;"（渡・公生）ハハハ…。
（椿）うるさい！"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:09:16.476000;0 days 00:09:20.480000;"僕　一人っ子なのに
世話の焼ける姉貴がいるみたい。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:09:20.480000;0 days 00:09:22.482000;（渡）優しいな　公生は。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:09:22.482000;0 days 00:09:24.482000;（椿）どこがよ？
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:09:26.486000;0 days 00:09:28.488000;"（渡）でも　公生
ほどほどにしとけよ。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:09:28.488000;0 days 00:09:30.490000;うん？
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:09:30.490000;0 days 00:09:32.492000;"優しいやつは　損するって
決まってんだ。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:09:32.492000;0 days 00:09:35.495000;"[TEL]
（渡）ん？"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:09:35.495000;0 days 00:09:38.498000;"おおっ！
圭子ちゃんからメール！→"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:09:38.498000;0 days 00:09:40.500000;俺　用事できた！　ひゃっほーい！
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:09:40.500000;0 days 00:09:42.502000;"何人目？
３人目。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:09:42.502000;0 days 00:09:45.505000;あんなのの　どこが　いいんだか。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:09:45.505000;0 days 00:09:47.507000;ザ　軽薄。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:09:47.507000;0 days 00:09:50.527000;でも　渡は　いいやつだよ。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:09:50.527000;0 days 00:09:52.445000;（椿）フフ…。→
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:09:52.445000;0 days 00:09:54.445000;女の敵だよ。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:09:58.451000;0 days 00:10:00.453000;"（椿）公生は？
ん？"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:10:00.453000;0 days 00:10:03.456000;"（椿）好きな子　いないの？
えっ？"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:10:03.456000;0 days 00:10:06.459000;美和が言ってたよ。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:10:06.459000;0 days 00:10:11.459000;"好きな人がいると
全部が　カラフルに見えるって。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:10:14.467000;0 days 00:10:18.471000;"僕を好きになる人なんか…
いないよ。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:10:18.471000;0 days 00:10:20.473000;（椿）暗い！
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:10:20.473000;0 days 00:10:24.477000;"目が光ってない！
私たち　１４歳なのよ！"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:10:24.477000;0 days 00:10:26.479000;目は黒いから　光らないだろ。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:10:26.479000;0 days 00:10:28.481000;（椿）出た！　常識論。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:10:28.481000;0 days 00:10:31.484000;"何となく分かるでしょ？
輝いてないの！"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:10:31.484000;0 days 00:10:33.486000;思春期なんだから　ピカーっと！
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:10:33.486000;0 days 00:10:36.489000;ピカー！
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:10:36.489000;0 days 00:10:38.491000;ピカーっと！
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:10:38.491000;0 days 00:10:40.493000;"うん。
（椿）うん？"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:10:40.493000;0 days 00:10:43.493000;椿の目は　輝いている。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:10:45.498000;0 days 00:10:47.500000;《椿の目には→
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:10:47.500000;0 days 00:10:53.439000;"きっと　風景が
カラフルに　見えてるんだろうな》"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:10:53.439000;0 days 00:10:55.439000;《僕とは違う…》
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:10:57.443000;0 days 00:10:59.445000;"（椿）お父さん　いつごろ
帰ってくるの？"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:10:59.445000;0 days 00:11:02.448000;うーん　１カ月か　２カ月か…。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:11:02.448000;0 days 00:11:04.450000;（椿）まだ　分かんないんだ。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:11:04.450000;0 days 00:11:07.453000;"仕事先の都合で　変わるからね。
（椿）だよね。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:11:07.453000;0 days 00:11:10.456000;"何かあるときは
椿んちに　お願いしてるし→"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:11:10.456000;0 days 00:11:12.458000;１人も慣れちゃったしね。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:11:12.458000;0 days 00:11:14.460000;じゃ　また　あした。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:11:14.460000;0 days 00:11:16.462000;（椿）うん　また。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:11:16.462000;0 days 00:11:20.466000;"[TEL]
（椿）ん？　あっ。→"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:11:20.466000;0 days 00:11:22.468000;もしもし？→
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:11:22.468000;0 days 00:11:27.473000;"いや～　ごめん。
今日　言おうと思って忘れてた。→"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:11:27.473000;0 days 00:11:30.476000;うん　あしたには　必ず。→
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:11:30.476000;0 days 00:11:34.480000;大丈夫だよ。　私が頼めば。→
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:11:34.480000;0 days 00:11:36.482000;うん。　絶対。→
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:11:36.482000;0 days 00:11:38.482000;だから　安心して。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:11:51.431000;0 days 00:11:55.435000;ただいま　母さん。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:11:55.435000;0 days 00:12:14.454000;♪♪～
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:12:14.454000;0 days 00:12:17.457000;（椿）《美和が言ってたよ》→
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:12:17.457000;0 days 00:12:22.462000;"《「彼と出会った瞬間
私の人生が変わったの」》→"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:12:22.462000;0 days 00:12:26.466000;"《「見るもの　聞くもの
感じるもの」》→"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:12:26.466000;0 days 00:12:32.472000;"《「私の風景　全部が
色づき始めたの」って》"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:12:32.472000;0 days 00:12:35.472000;《でも…　僕には…》
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:12:37.477000;0 days 00:12:40.480000;《僕には　モノトーンに見える》
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:12:40.480000;0 days 00:12:45.485000;"《譜面のように
鍵盤のように…》"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:12:45.485000;0 days 00:12:50.506000;（公生の泣き声）
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:12:50.506000;0 days 00:12:55.506000;（ざわめき）
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:13:00.433000;0 days 00:13:05.438000;＜１１歳の秋　僕は…→
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:13:05.438000;0 days 00:13:07.438000;ピアノが弾けなくなった＞
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:14:41.467000;0 days 00:14:45.471000;[TEL]（♪♪『光るなら』）
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:14:45.471000;0 days 00:14:57.483000;♪♪～
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:14:57.483000;0 days 00:14:59.483000;"（椿）隙ありーっ！
ぎゃー！"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:15:02.488000;0 days 00:15:04.490000;も～　つまんない反応。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:15:04.490000;0 days 00:15:06.492000;あんたの青春って何？
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:15:06.492000;0 days 00:15:09.492000;１４の春は　二度と来ないのよ！
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:15:11.497000;0 days 00:15:14.500000;"放課後に　１人　教室で…
よいしょ。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:15:14.500000;0 days 00:15:16.502000;何　聴いてんのよ。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:15:16.502000;0 days 00:15:18.504000;あんま　引っ張るなよ。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:15:18.504000;0 days 00:15:20.506000;うひゃー！　あれ？
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:15:20.506000;0 days 00:15:23.509000;"Ｇｏｏｓｅ　ｈｏｕｓｅの新曲！？
今　ＣＭで流れてるやつ？"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:15:23.509000;0 days 00:15:25.509000;"うお～！
《うるさいなぁ》"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:15:33.519000;0 days 00:15:37.523000;[TEL]（♪♪『光るなら』）
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:15:37.523000;0 days 00:15:40.459000;"（椿）公生　あしたの土曜日
暇でしょ？"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:15:40.459000;0 days 00:15:42.461000;決め付けるなよ。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:15:42.461000;0 days 00:15:44.461000;じゃあ　予定あるの？
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:15:46.465000;0 days 00:15:48.467000;同じクラスの女の子にね→
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:15:48.467000;0 days 00:15:52.471000;"渡を紹介してほしいって
頼まれてさ。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:15:52.471000;0 days 00:15:54.473000;あした　会うことになってるの。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:15:54.473000;0 days 00:15:56.475000;公生も来てよ。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:15:56.475000;0 days 00:15:58.477000;えー？　何で僕も？
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:15:58.477000;0 days 00:16:03.482000;"私と　その子と渡の３人じゃ
私　気まずいじゃん。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:16:03.482000;0 days 00:16:08.487000;"どうせ　甘い空気になるんだから
２対２なら　ちょうどいい。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:16:08.487000;0 days 00:16:11.490000;それに…。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:16:11.490000;0 days 00:16:16.495000;"その子
クラシック　やってるんだって。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:16:16.495000;0 days 00:16:18.497000;公生は　ピアノやってるんだから→
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:16:18.497000;0 days 00:16:21.500000;"共通の話題があった方が
いいじゃん。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:16:21.500000;0 days 00:16:25.500000;"話が詰まったときにさ
楽器の話とか　できるでしょ？"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:16:27.506000;0 days 00:16:31.510000;"僕は…　ピアノは辞めたんだ。
[TEL]（♪♪『光るなら』）"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:16:31.510000;0 days 00:16:34.513000;もう　２年も弾いてない。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:16:34.513000;0 days 00:16:37.516000;"嘘つき！　昨日　弾いてたじゃん。
音楽室で。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:16:37.516000;0 days 00:16:39.535000;"あれは　バイト！
バイト？"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:16:39.535000;0 days 00:16:43.456000;"新譜を耳コピして
譜面に起こしてるんだ。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:16:43.456000;0 days 00:16:45.458000;"カラオケ用とか。
[TEL]（♪♪『光るなら』）"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:16:45.458000;0 days 00:16:48.461000;"教室で　できるなら
ピアノ弾く必要　ないじゃん。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:16:48.461000;0 days 00:16:51.464000;音の確認　してただけ。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:16:51.464000;0 days 00:16:53.466000;ふ～ん。
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:16:53.466000;0 days 00:16:57.470000;"バイトなんて
他に　いくらでも　あるじゃない。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:16:57.470000;0 days 00:17:04.477000;"私には…　必死に
しがみついているように見えるよ。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:17:04.477000;0 days 00:17:08.477000;"ピアノ弾いてる公生の方が
カッコよかったな。"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:17:10.483000;0 days 00:17:13.486000;＜母の夢だった＞
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:17:13.486000;0 days 00:17:18.491000;"＜世界を飛び回るピアニストに
僕を育てること＞"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:17:18.491000;0 days 00:17:21.494000;"＜音楽教室を営んでいた
母のレッスンは→"
shigatsu wa kimi no uso;shigatsu wa kimi no uso 001.srt;0 days 00:17:21.494000;0 days 00:17:24.497000;毎日　毎日　何時間も→
